stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:StopPlace:536,,Brakerøya stasjon,,59.74379,10.232988,,,1,,2,,,100
NSR:StopPlace:415,,Askim,,59.58153,11.163291,,,1,,2,,,700
NSR:StopPlace:657,,Slitu,,59.566826,11.261528,,,1,,2,,,700
NSR:StopPlace:414,,Varhaug,,58.61878,5.64583,,,1,,2,,,700
NSR:StopPlace:659,,Trondheim S,,63.43627,10.398983,,,1,,2,,,100
NSR:StopPlace:416,,Vikhammer stasjon,,63.43875,10.623685,,,1,,2,,,100
NSR:StopPlace:658,,Snartemo stasjon,,58.331738,7.211468,,,1,,2,,,100
NSR:StopPlace:419,,Vikhamar,,63.43839,10.622669,,,1,,2,,,700
NSR:StopPlace:418,,Asker stasjon,,59.833344,10.434492,,,1,,2,,,100
NSR:StopPlace:5749,,Haugenstua stasjon,,59.95147,10.910823,,,1,,2,,,700
NSR:StopPlace:59912,,Oteråga,,67.29894,14.866943,,,1,,2,,,700
NSR:StopPlace:3571,,Greverud kirke,,59.774662,10.80423,,,1,,2,,,700
NSR:StopPlace:43208,,Statoil Rotvoll,,63.43672,10.479264,,,1,,2,,,700
NSR:StopPlace:1153,,Råde stasjon,,59.347332,10.867394,,,1,,2,,,700
NSR:StopPlace:411,,Varhaug stasjon,,58.61836,5.646136,,,1,,2,,,100
NSR:StopPlace:653,,Tønsberg stasjon,,59.271927,10.409468,,,1,,2,,,100
NSR:StopPlace:652,,Dovre stasjon,,61.98473,9.256808,,,1,,2,,,100
NSR:StopPlace:413,,Levanger stasjon,,63.744812,11.300468,,,1,,2,,,100
NSR:StopPlace:533,,Bryn,,59.908627,10.818226,,,1,,2,,,700
NSR:StopPlace:5511,,Strømmen stasjon,,59.948845,11.00181,,,1,,2,,,700
NSR:StopPlace:412,,Askim stasjon,,59.5818,11.163343,,,1,,2,,,100
NSR:StopPlace:654,,Slitu stasjon,,59.566933,11.261982,,,1,,2,,,100
NSR:StopPlace:6721,,Holmlia stasjon,,59.83497,10.796795,,,1,,2,,,700
NSR:StopPlace:45514,,Bergsgrav,,63.771877,11.469925,,,1,,2,,,700
NSR:StopPlace:305,,Nyland stasjon,,59.94394,10.871645,,,1,,2,,,100
NSR:StopPlace:426,,Lier stasjon,,59.76346,10.290438,,,1,,2,,,100
NSR:StopPlace:547,,Ås stasjon,,59.663277,10.794565,,,1,,2,,,100
NSR:StopPlace:425,,Vinstra stasjon,,61.595463,9.74704,,,1,,2,,,100
NSR:StopPlace:667,,Tomter stasjon,,59.65988,11.002309,,,1,,2,,,100
NSR:StopPlace:549,,Kløve stasjon,,60.66324,6.534993,,,1,,2,,,100
NSR:StopPlace:669,,Steinvik stasjon,,61.251217,11.324332,,,1,,2,,,100
NSR:StopPlace:427,,Atna stasjon,,61.732338,10.835149,,,1,,2,,,100
